date,Price
01/05/2017,989.3
02/05/2017,1016.1
03/05/2017,1271.2
04/05/2017,1129.9
05/05/2017,1507.8
06/05/2017,2705
07/05/2017,2627.9
08/05/2017,3262.8
09/05/2017,4409.1
10/05/2017,4321.4
11/05/2017,7389.5
12/05/2017,11667.1
01/06/2017,886.2
02/06/2017,1024.7
03/06/2017,1277
04/06/2017,1188.7
05/06/2017,1545.3
06/06/2017,2870.5
07/06/2017,2614.2
08/06/2017,3232
09/06/2017,4618.7
10/06/2017,4371.9
11/06/2017,6959.2
12/06/2017,13749.6
01/07/2017,888.9
02/07/2017,1049.6
03/07/2017,1232.7
04/07/2017,1190.5
05/07/2017,1554.4
06/07/2017,2691.5
07/07/2017,2513.9
08/07/2017,3401.9
09/07/2017,4635.6
10/07/2017,4435.8
11/07/2017,7102.8
12/07/2017,16850.3
01/08/2017,900.9
02/08/2017,1055.5
03/08/2017,1147
04/08/2017,1180.8
05/08/2017,1664.5
06/08/2017,2798.8
07/08/2017,2564.9
08/08/2017,3429.4
09/08/2017,4326.5
10/08/2017,4611.7
11/08/2017,7444.4
12/08/2017,16047.6
01/09/2017,899.8
02/09/2017,979
03/09/2017,1191.3
04/09/2017,1204.3
05/09/2017,1697.5
06/09/2017,2811.4
07/09/2017,2511.4
08/09/2017,3348.8
09/09/2017,4335.1
10/09/2017,4777.5
11/09/2017,7129.6
12/09/2017,14843.4
01/10/2017,904.4
02/10/2017,997.6
03/10/2017,1112.4
04/10/2017,1206.7
05/10/2017,1752.3
06/10/2017,2900.3
07/10/2017,2344
08/10/2017,3425.7
09/10/2017,4245.9
10/10/2017,4763.4
11/10/2017,6565.8
12/10/2017,15059.6
01/11/2017,785.4
02/11/2017,1008.3
03/11/2017,1179.2
04/11/2017,1220.7
05/11/2017,1819.3
06/11/2017,2973.4
07/11/2017,2324.3
08/11/2017,3654.4
09/11/2017,4217.9
10/11/2017,4824.2
11/11/2017,6339.9
12/11/2017,16732.5
01/12/2017,810.1
02/12/2017,996.5
03/12/2017,1225.1
04/12/2017,1212.5
05/12/2017,1686.4
06/12/2017,2656.8
07/12/2017,2403.1
08/12/2017,3871.6
09/12/2017,4158.9
10/12/2017,5432.6
11/12/2017,5878.1
12/12/2017,17083.9
01/01/2018,13444.9
02/01/2018,9181.1
03/01/2018,10904.5
04/01/2018,6825.2
05/01/2018,9074.9
06/01/2018,7530.8
07/01/2018,6366.8
08/01/2018,7606.4
09/01/2018,7189.6
