date,Price,Volume
11/03/2018,6386.2,112840
11/02/2018,6424.7,135870
11/01/2018,6400.5,124160
10/31/2018,6365.9,129060
10/30/2018,6325.7,128210
10/29/2018,6335,160520
10/28/2018,6486.1,93970
10/27/2018,6494.2,76720
10/26/2018,6510,97170
10/25/2018,6507,97430
10/24/2018,6530.7,98740
10/23/2018,6528.7,108860
10/22/2018,6555.8,101570
10/21/2018,6583,92940
10/20/2018,6572.2,97770
10/19/2018,6512,121440
10/18/2018,6574.1,134150
10/17/2018,6686.6,136710
10/16/2018,6705.3,155850
10/15/2018,6699.8,443330
10/14/2018,6326.8,99380
10/13/2018,6321.7,94450
10/12/2018,6291.3,147400
10/11/2018,6239.1,245280
10/10/2018,6618,101930
10/09/2018,6650.8,80790
10/08/2018,6669.6,119680
10/07/2018,6611,77060
10/06/2018,6596.3,9180000
10/05/2018,6639.1,9340000
10/04/2018,6584.2,9310000
10/03/2018,6507.8,9210000
10/02/2018,6549.9,9340000
10/01/2018,6608.2,9190000
09/30/2018,6635.2,9340000
09/29/2018,6603.9,9420000
09/28/2018,6636,9570000
09/27/2018,6689.2,9340000
09/26/2018,6468.1,8640000
09/25/2018,6445.1,7340000
09/24/2018,6584.1,7570000
09/23/2018,6704.1,7340000
09/22/2018,6729.6,7310000
09/21/2018,6766.7,7730000
09/20/2018,6489.2,5180000
09/19/2018,6390.4,3540000
09/18/2018,6342,2820000
09/17/2018,6251.9,3260000
09/16/2018,6500.2,3340000
09/15/2018,6519,3160000
09/14/2018,6483.7,3200000
09/13/2018,6482.9,3530000
09/12/2018,6338,3040000
09/11/2018,6293.9,3300000
09/10/2018,6321,3110000
09/09/2018,6238.5,2840000
09/08/2018,6184.3,3460000
09/07/2018,6390.9,3300000
09/06/2018,6514,4020000
09/05/2018,6706.8,4550000
09/04/2018,7377.5,3920000
09/03/2018,7264.2,3870000
09/02/2018,7293.9,3900000
09/01/2018,7189.6,3520000
08/31/2018,7033.8,4210000
08/30/2018,6993.7,3740000
08/29/2018,7029.1,4110000
08/28/2018,7074.6,3790000
08/27/2018,6897.6,3260000
08/26/2018,6712.7,3370000
08/25/2018,6734.8,3590000
